Award ID,Agency,Office,Recipient,NAICS,Total Value,Start Date,Expiration
75N98024A00041,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,"BIO-RAD LABORATORIES, INC.",334516 - ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,"$1,000,000,000.00 ",12/18/2023,12/31/2025
75N98022A00027,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,GRAND PRIX ROCKVILLE LLC,721110 - HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"$1,000,000,000.00 ",2/10/2022,12/31/2025
75N98021A00085,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,"ASHFORD TRS ALEXANDRIA, LLC",721110 - HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"$1,000,000,000.00 ",8/11/2021,12/31/2025
75N98022A00005,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,"2121 M STREET, LLC",721110 - HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"$1,000,000,000.00 ",11/16/2021,12/31/2025
75N98023A00025,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,T-R 1775 ROCKVILLE OWNER LLC,721110 - HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"$1,000,000,000.00 ",5/9/2023,12/31/2025
75N98022A00006,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,"DC SIX LESSEE, L.L.C.",721110 - HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"$1,000,000,000.00 ",1/1/2022,12/31/2025
75N98022A00018,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,HYATT CORPORATION,721110 - HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"$1,000,000,000.00 ",12/17/2021,12/31/2025
SPE2DB22D6029,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/17/2022,12/31/2025
SPE2DB22D2108,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/19/2022,12/31/2025
SPE2DX15D2921,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",9/9/2021,12/31/2025
SPE2DX15D2923,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",9/9/2021,12/31/2025
SPE2DB22D3301,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/2/2022,12/31/2025
SPE2DB25D3404,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",10/10/2024,12/31/2025
SPE2DB22D2214,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/4/2022,12/31/2025
SPE2DB24D2011,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",2/7/2024,12/31/2025
SPE2DX20D1255,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/30/2020,12/31/2025
SPE2DB20D6036,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/20/2020,12/31/2025
SPE2DB22D3401,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/17/2022,12/31/2025
SPE2DB22D2218,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/28/2022,12/31/2025
SPE2DB22D2211,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/12/2022,12/31/2025
SPE2DB22D3009,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/8/2022,12/31/2025
SPE2DX15D2932,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",9/15/2016,12/31/2025
SPE2DB24D6038,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/7/2024,12/31/2025
SPE2DB20D3111,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/6/2020,12/31/2025
SPE2DB24D3014,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/28/2024,12/31/2025
SPE2DB24D3013,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/19/2024,12/31/2025
SPE2DB24D2102,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/11/2024,12/31/2025
SPE2DB20D7059,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/16/2020,12/31/2025
SPE2DB24D6041,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/18/2024,12/31/2025
SPE2DB22D3011,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/28/2022,12/31/2025
SPE2DB22D2103,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/4/2022,12/31/2025
SPE2DB24D2003,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/30/2024,12/31/2025
SPE2DB24D2109,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/4/2024,12/31/2025
SPE2DB20D1051,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/23/2020,12/31/2025
SPE2DB24D2215,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/4/2024,12/31/2025
SPE2DB20D1110,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/3/2020,12/31/2025
SPE2DB20D7066,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/16/2020,12/31/2025
SPE2DB24D6044,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/18/2024,12/31/2025
SPE2DB20D1102,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/20/2020,12/31/2025
SPE2DX15D7053,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,325411 - MEDICINAL AND BOTANICAL MANUFACTURING,"$999,999,999.00 ",4/29/2015,12/31/2025
SPE2DB22D1041,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/21/2022,12/31/2025
SPE2DB24D2012,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/11/2024,12/31/2025
SPE2DB25D3306,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",10/8/2024,12/31/2025
SPE2DB22D6031,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/19/2022,12/31/2025
SPE2DB24D8003,Department of Defense,DLA TROOP SUPPORT,"DAKOTA DRUG, INC.",424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/6/2024,12/31/2025
SPE2DB22D7058,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/25/2022,12/31/2025
SPE2DB22D3010,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/21/2022,12/31/2025
SPE2DB22D1202,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/28/2022,12/31/2025
SPE2DB25D3018,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",10/10/2024,12/31/2025
SPE2DB20D1047,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/23/2020,12/31/2025
SPE2DB24D6039,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/18/2024,12/31/2025
SPE2DB24D2105,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",2/6/2024,12/31/2025
SPE2DB22D1106,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/22/2022,12/31/2025
SPE2DB24D2010,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",2/6/2024,12/31/2025
SPE2DB24D8001,Department of Defense,DLA TROOP SUPPORT,"DAKOTA DRUG, INC.",424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/6/2024,12/31/2025
SPE2DB24D1006,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",2/6/2024,12/31/2025
SPE2DB22D1002,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/12/2022,12/31/2025
SPE2DB24D2216,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/3/2024,12/31/2025
SPE2DB20D1050,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/23/2020,12/31/2025
SPE2DB22D3016,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/16/2022,12/31/2025
SPE2DB20D7061,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/6/2020,12/31/2025
SPE2DB24D2100,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",2/7/2024,12/31/2025
SPE2DB24D1007,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/23/2024,12/31/2025
SPE2DB24D3015,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/19/2024,12/31/2025
SPE2DB24D2208,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/3/2024,12/31/2025
SPE2DB22D1052,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/25/2022,12/31/2025
SPE2DB22D2009,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/23/2022,12/31/2025
SPE2DB24D1107,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/23/2024,12/31/2025
SPE2DB24D1201,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/17/2024,12/31/2025
SPE2DB25D7068,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",10/2/2024,12/31/2025
SPE2DB20D2014,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/21/2020,12/31/2025
SPE2DB24D2212,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/4/2024,12/31/2025
SPE2DB22D3004,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/8/2022,12/31/2025
SPE2DB22D1200,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/23/2022,12/31/2025
SPE2DB20D6035,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",7/27/2020,12/31/2025
SPE2DB20D3304,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/29/2020,12/31/2025
SPE2DB22D3501,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/16/2022,12/31/2025
SPE2DB22D2006,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/2/2022,12/31/2025
SPE2DB22D2206,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/8/2022,12/31/2025
SPE2DB24D2213,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",4/4/2024,12/31/2025
SPE2DB24D2013,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/11/2024,12/31/2025
SPE2DB20D3303,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/29/2020,12/31/2025
SPE2DB25D3402,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",10/8/2024,12/31/2025
SPE2DB24D2101,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/28/2024,12/31/2025
SPE2DB25D2204,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",9/12/2024,12/31/2025
SPE2DB24D2217,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",5/28/2024,12/31/2025
SPE2DB24D1034,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",12/13/2023,12/31/2025
SPE2DB24D2018,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",1/23/2024,12/31/2025
SPE2DB24D8002,Department of Defense,DLA TROOP SUPPORT,"DAKOTA DRUG, INC.",424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/6/2024,12/31/2025
SPE2DB24D1205,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",2/28/2024,12/31/2025
SPE2DB24D2205,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",3/11/2024,12/31/2025
SPE2DB22D2005,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$999,999,999.00 ",6/28/2022,12/31/2025
N4008520D0033,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,ARCHER WESTERN FEDERAL JV,236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"$975,000,000.00 ",3/27/2020,12/31/2025
N4008520D0034,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,"RQ CONSTRUCTION, LLC",236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"$975,000,000.00 ",3/27/2020,12/31/2025
N4008520D0036,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,"WHITING-TURNER CONTRACTING COMPANY, THE",236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"$975,000,000.00 ",3/27/2020,12/31/2025
N4008520D0035,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,"SAUER CONSTRUCTION, LLC",236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"$975,000,000.00 ",3/27/2020,12/31/2025
N4008520D0032,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,AMERESCO INC,236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"$975,000,000.00 ",3/27/2020,12/31/2025
HHSO100201700018C,Department of Health and Human Services,BARDA - ASPR / DAAPPO / BARDA DCMA,"JANSSEN PHARMACEUTICALS, INC.",541711 - RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,"$919,512,953.00 ",8/15/2017,12/31/2025
FA254421D0001,Department of Defense,FA2518 USSF SPOC/SAIO,LINQUEST CORPORATION,"541715 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$900,000,000.00 ",1/4/2021,12/31/2025
N6449821D0042,Department of Defense,NSWC PHILADELPHIA DIV,"DELPHINUS ENGINEERING, INC.",541330 - ENGINEERING SERVICES,"$892,000,000.00 ",9/30/2021,12/25/2025
