Business name,Capabilities narrative,Capabilities statement link,Active SBA certifications,Contact person's name,Contact person's email,Address line 1,Address line 2,City,State,Zipcode,Primary NAICS code,All NAICS codes,“Small” NAICS codes
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/R37EXBFX4WR3/03L35"", ""AHTNA USA-CDM JV"" )",,,8(a) JV,SKY SIEMERS,ssiemers@ahtna.net,3100 BEACON BLVD,,WEST SACRAMENTO,California,95691,237110,"221310, 236210, 236220, 237110, 237130, 237310, 237990, 238190, 238910, 541310, 541330, 562910","221310, 236210, 236220, 237110, 237130, 237310, 237990, 238190, 238910, 541310, 541330, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/YPABB25UK1L3/88Z51"", ""DELTA POINT LLC"" )","Delta Point LLC is a Federally recognized Alaska Native Village Corporation and Socio economic disadvantaged Small Business.  We specialize in project management, systems integration, staff augmentation and physical security infrastructure implementation.  Delta Point LLC has significant experience in management of complex projects and team building to bring the best of breed technologies and services to our Government Agency and Commercial customers.",,8(a),BRAXTON APPERSON,braxton.apperson@deltapointak.com,10633 WASHINGTON CIR,,ANCHORAGE,Alaska,99515,541513,"237130, 238210, 334220, 423450, 541511, 541512, 541513, 541519, 541611, 561612","237130, 238210, 334220, 423450, 541511, 541512, 541513, 541519, 541611, 561612"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/TKDXFAZUZ257/9HB47"", ""NORTH WIND GENERAL CONTRACTORS, LLC"" )","North Wind General Contractors, LLC (NWGC) is an 8(a) small disadvantaged business firm. As a General Contractor, NWGC provides comprehensive construction services for commercial and government customers at multiple project locations across the U.S. NWGC offers our clients a low risk small business backed by a mature, financially strong parent organization and an excellent past performance history. We competitively bid and manage both large stand-alone projects as well as multiple task order IDIQ contracts, including 100% design, design-build, demolition, facilities repair, fuels systems, and new construction. NWGC is part of a family of North Wind companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). The North Wind family of companies is managed by North Wind Group, a CIRI government ANC contract holding entity.",,8(a),BRENT BROOKS,bbrooks@northwindgrp.com,2525 C ST STE 130,,ANCHORAGE,Alaska,99503,236210,"115310, 221310, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238110, 238160, 238210, 238220, 238910, 238990, 562910, 712120","115310, 221310, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238110, 238160, 238210, 238220, 238910, 238990, 562910, 712120"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/D9YJRBHZ42B5/9N2L6"", ""KWAAN ARES DEFENSE LLC"" )",,,8(a) JV,AARON TILOCK,aaron.tilock@kwaan.tech,5500 CHEROKEE AVE STE 100,,ALEXANDRIA,Virginia,22312,541519,"517111, 541330, 541519, 541611, 541618, 561210","517111, 541330, 541519, 541611, 541618, 561210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/MQENNZXWLBA3/4ECU7"", ""J. BRENNON CONSTRUCTION, INC."" )","J Brennon Construction provides outstanding construction and project oversight. Our services begin with architectural surveys, architectural drawings, and continue through the entire construction process.",,8(a),"BRENNON SMITH, SR.",org@jbrennon.com,1419 CHATTANOOGA AVE,SUITE 4,DALTON,Georgia,30720,236210,"236210, 236220, 238110, 238120, 238130, 238190, 238310, 238320, 238330, 238340, 238350, 238390, 238910, 238990","236210, 236220, 238110, 238120, 238130, 238190, 238310, 238320, 238330, 238340, 238350, 238390, 238910, 238990"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/UNMLFNGA9WT9/6P7G0"", ""ASRC EARTHWORKS, LLC"" )","ASRC Earthworks is an 8(a)-certified business specializing in heavy civil construction, materials extraction, and paving projects for federal, state, and local government agencies. With expertise in aggregate processing and asphalt production, our team understands both routine and complex civil projects and the unique requirements of working on U.S. military installations. Our modern fleet is equipped to work in remote, logistically complex locations across Alaska, ensuring efficient project execution in challenging environments.","https://asrcconstruction.com/about/capabilities/  ",8(a),BRICE CONKLIN,bconklin@asrcconstruction.com,3900 C ST,STE 309,ANCHORAGE,Alaska,99503,237990,"212319, 212321, 236220, 237310, 237990, 562910","212319, 212321, 236220, 237310, 237990, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/GHLJX6LSQET8/69K56"", ""KATMAI INTEGRATED SOLUTIONS, LLC"" )","We provide engineering and maintenance services for the DoD with an emphasis on weapon systems and weapon-based training aids, devices, simulators, and simulations. We offer Contractor Logistics Support (CLS) and Contractor Operations and Maintenance Services (COMS), to include custom engineering and fabrication; simulator upgrade and replacement; form, fit, and functional equipment replacement; computer system replacement and software re-host; system installation and platform integration; preventative and corrective maintenance; obsolescence management; instructor/operator training; preventive and corrective maintenance; inventory management; and supply support.",https://katmaicorp.box.com/v/KIS-MTG-CAP-STMNT,8(a),TERESA DERRICKSON,The business owner has hidden this information from public searches,11001 OMALLEY CENTRE DR STE 204,,ANCHORAGE,Alaska,99515,541330,"236210, 236220, 237130, 238210, 334111, 493110, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 541612, 541614, 541618, 541620, 541690, 541715, 541990, 561110, 561210, 561320, 561422, 561499, 561720, 611512, 611699, 611710, 621111, 621399, 622110","236210, 236220, 237130, 334111, 493110, 518210, 541330, 541511, 541512, 541513, 541519, 541612, 541715, 561210, 561320, 611512, 622110"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/MEMKB3JT64J8/5FWE8"", ""WISEFOX SOLUTIONS, INC."" )","Certified 8(a) SDB provides managed IT services, disaster recovery, structured cabling, network administration,enterprise networks, audio and video, and telephone systems. Owner operated for sixteen years.",,8(a),ERIC HUNT,eric.hunt@smartfox.us,426 MOULTON ST E,,DECATUR,Alabama,35601,541512,"236220, 238210, 335921, 541330, 541511, 541512, 541519, 541715","236220, 238210, 335921, 541330, 541511, 541512, 541519, 541715"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/NENSLR2C1VH9/8FBE7"", ""ASRC FEDERAL FACILITIES LOGISTICS LLC"" )","AFFL capabilities cover a broad range of services, inventory management, logistics, quality assurance, transportation of materials, administrative and technical disciplines as well as facility support services and facility operations and maintenance. Our principle assets are our people, procedures, and processes that have been developed as a result of our experience and expertise working in these areas. Our service offerings in this industry segment are focused on meeting the demand across the Federal Government for a wide range of Process, Physical Distribution and Logistics Consulting Services. Typical services include: Manufacturing operations improvement, Productivity improvement, Production planning and control, Quality assurance and quality control, Inventory management, Distribution networks, Warehouse use, operations, and utilization, Transportation and shipment of goods and materials; and Materials management and handling services.",,8(a),SCOTT SALZANO,Scott.Salzano@asrcfederal.com,7000 MUIRKIRK MEADOWS DR,STE 100,BELTSVILLE,Maryland,20705,541614,"332722, 333611, 333998, 334111, 493190, 517810, 541330, 541511, 541512, 541513, 541519, 541611, 541614, 541690, 541820, 541990, 561110, 561210, 561990, 611430","332722, 333611, 333998, 334111"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/TFAJG6K8D696/3HEP9"", ""L & L DRYWALL & CONSTRUCTION, INC."" )",L & L Drywall & Construction Inc. is a Commercial General Contractor for the state of North Carolina.,,8(a),DAVID LOCKLEAR,dl@lldrywall-construction.com,1617 GILLESPIE ST,,FAYETTEVILLE,North Carolina,28306,236220,"115310, 236118, 236210, 236220, 237310, 237990, 238110, 238120, 238130, 238140, 238160, 238170, 238190, 238210, 238220, 238290, 238310, 238320, 238330, 238350, 238390, 238910, 238990, 332311, 332312, 333120, 337215, 484210, 531110, 541320, 541330, 541611, 541620, 541690, 541990, 561210, 561730, 561790, 562910","115310, 236118, 236210, 236220, 237310, 237990, 238110, 238120, 238130, 238140, 238160, 238170, 238190, 238210, 238220, 238290, 238310, 238320, 238330, 238350, 238390, 238910, 238990, 332311, 332312, 333120, 337215, 484210, 531110, 541320, 541330, 541611, 541620, 541690, 541990, 561210, 561730, 561790, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/EC1JA2TNMHF6/8M7N9"", ""OJIBWE HAZARDOUS ABATEMENT, LLC"" )",,,"8(a), HUBZone",RACHEL HECKEL,rachel.heckel@sti-federal.com,531 ASHMUN ST,,SAULT SAINTE MARIE,Michigan,49783,562910,"236220, 237110, 237990, 238220, 238990, 334310, 512110, 517121, 517810, 541330, 541350, 541380, 541519, 541611, 541620, 541690, 541990, 562910, 623110","236220, 237110, 237990, 238220, 238990, 334310, 512110, 517121, 517810, 541330, 541350, 541380, 541519, 541611, 541620, 541690, 541990, 562910, 623110"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/M5LUG7KAKEJ4/7Z7B6"", ""BOWHEAD ENTERPRISE, SCIENCE AND TECHNOLOGY, LLC"" )","Our highly skilled technical professionals hold advanced engineering, technology, and science degrees. We prioritize continuous process improvements to deliver tailored solutions that meet our customers' diverse and evolving needs. We offer comprehensive services, including training and instruction, risk management, cybersecurity, and program support. Our Advisory and Assistance Services (A&AS) and engineering and technical services provide expert guidance and support. Our IT expertise includes performance tuning, system availability, capacity planning, provisioning, and security, with a strong emphasis on Security Tech Implementation Guides (STIG), Info Assurance Vulnerability Alerts (IAVA), and Info Assurance (IA) implementation and compliance. Our seasoned SMEs conduct Risk Management Framework (RMF) validations and complete system Assessment and Authorization (A&A) processes to establish Authority to Operate (ATO). Holds Top Secret security clearance.",https://www.bowhead.com/companies/bowhead-enterprise-science-and-technology/,8(a),LORI SCHENDEL,lori.schendel@bowheadsupport.com,6564 LOISDALE CT STE 900,,SPRINGFIELD,Virginia,22150,811210,"334111, 512191, 513210, 517810, 518210, 541219, 541330, 541410, 541430, 541512, 541513, 541519, 541611, 541614, 541618, 541620, 541690, 541715, 541810, 541820, 541990, 561110, 561621, 561990, 611310, 611430, 611512, 621511, 621999, 811111, 811210","334111, 512191, 513210, 517810, 518210, 541219, 541330, 541512, 541513, 541519, 541611, 541614, 541618, 541620, 541690, 541715, 541810, 541820, 541990, 561110, 561621, 561990, 611310, 611430, 611512, 621511, 621999, 811210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/ZAHMVDVNFRN5/94F62"", ""CHITINA DIVERSIFIED SERVICES, LLC"" )","Chitina Diversified Services, LLC provides operations support with focus on seamless integration of Const Mgmt., Professional Services, staffing, employment services, personnel administration and program management.",,8(a),ED HERNDON,eherndon@chitinadiversified.com,"7401 S BITTERROOT PL, STE 203",,SIOUX FALLS,South Dakota,57108,236220,"221112, 236118, 236210, 236220, 237310, 237990, 238110, 238190, 238210, 238910, 238990, 531110, 541330, 541490, 541511, 541512, 541513, 541519, 541611, 541612, 541613, 541614, 541690, 541990, 561110, 561210, 561320, 561499, 561720, 561730, 561990, 611430, 811210","221112, 236118, 236210, 236220, 237310, 237990, 238110, 238190, 238210, 238910, 238990, 531110, 541330, 541490, 541511, 541512, 541513, 541519, 541611, 541612, 541613, 541614, 541690, 541990, 561110, 561210, 561320, 561499, 561720, 561730, 561990, 611430, 811210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/CJVTHHL129F3/9CPW1"", ""LEISNOI ENTERPRISE SOLUTIONS LLC"" )",,,8(a),ROBERT MILLER,The business owner has hidden this information from public searches,The business owner has hidden this information from public searches,The business owner has hidden this information from public searches,The business owner has hidden this information from public searches,The business owner has hidden this information from public searches,The business owner has hidden this information from public searches,541519,"518210, 541511, 541513, 541519, 561110","518210, 541511, 541513, 541519, 561110"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/L32HMCJ3SVL9/49WJ8"", ""PROTO TECHNOLOGIES, INC."" )","Rapid Prototyping, Additive Manufacturing, 3D Printing, silicone moldidng, Silicone casting Urethanes Castings, CNC Mill Machining, CNC Lathe Machining, Painting, Thermoforming.",,8(a),MONTE LARSEN,mlarsen@prototech.com,22808 E APPLEWAY AVE,,LIBERTY LAKE,Washington,99019,332710,"325991, 326199, 332710, 332721, 332999, 333511, 336411, 336412, 336413, 336415, 336419, 336992, 339999","325991, 326199, 332710, 332721, 332999, 333511, 336411, 336412, 336413, 336415, 336419, 336992, 339999"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/N14DPDAU18H4/91MW8"", ""LEISNOI PROFESSIONAL SERVICES, LLC"" )",,,"8(a), HUBZone",TAMIE TAYLOR,ttaylor@leisnoi.com,101 W BENSON BLVD STE 202,,ANCHORAGE,Alaska,99503,238220,"236220, 237110, 237310, 237990, 238110, 238210, 238220, 334118, 541511, 541512, 541513, 541519, 541618, 541690, 541990, 621498","236220, 237110, 237310, 237990, 238110, 238210, 238220, 334118, 541511, 541512, 541513, 541519, 541618, 541690, 541990, 621498"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/H8MDYH5MKMM9/8FXG5"", ""KOMAN INTEGRATED SOLUTIONS, LLC"" )","KIS, an 8(a) general contractor and wholly owned subsidiary of the Natives of Kodiak, Inc. (NOK)—an Alaska Native Corporation (ANC)—is dedicated to safely building quality projects while consistently exceeding client expectations. As part of the KOMAN family of companies, we offer a “one-stop shop” for a wide range of services. KIS specializes in general contracting, electrical distribution, new pavement installation, pavement preservation and maintenance, airfield paving (concrete and asphalt), underground construction, earthwork and excavation, demolition, abatement, concrete work (both major and minor), and wet and dry utility services. We have a proven track record of success delivering high-quality outcomes in design-build projects, vertical and horizontal new construction, remodels and expansions, repairs and maintenance, construction support, and full-spectrum general construction services.",https://komanholdings.com/wp-content/uploads/2024/09/KIS-Capabilities-Statement_2024.09_24.pdf,8(a),RUSSELL BORMAN,rborman@komanintsol.com,5632 N 54TH AVE,,GLENDALE,Arizona,85301,237130,"221121, 221122, 221310, 236115, 236210, 236220, 237110, 237130, 237310, 237990, 238110, 238290, 238910, 541611, 562910","221121, 221122, 221310, 236115, 236210, 236220, 237110, 237130, 237310, 237990, 238110, 238290, 238910, 541611, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/KTX5W6E1E8E1/7Y2F3"", ""BRISTOL ENVIRONMENTAL SOLUTIONS LLC"" )","Remediation and clean up of contaminated buildings, mines, sites, soil, and ground water, mine reclamation, demolition, waste/water treatment, hazardous material removal, land contouring, revegetation, asbestos abatement, lead paint/abatement, toxic material abatement, vertical/horizontal construction, environmental remediation, civil/structural engineering, fuel systems, fuels, fuel systems construction and maintenance, munitions response and site investigation, Munitions and Explosives, MEC, Unexploded Ordnance, UXO",,8(a),ANDY BIAGGI,sam-registration@bristol-companies.com,111 W 16TH AVE,STE 300,ANCHORAGE,Alaska,99501,562910,"237990, 541620, 562910, 624230","237990, 541620, 562910, 624230"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/G6WGYB8SKE53/7RBD3"", ""TEKPRO SUPPORT SERVICES, LLC"" )","TekPro Support Services, LLC provides document preparation services to include document editing and proofreading, word processing and desktop publishing and other administrative support services.",,8(a),REGINA MONROE,Regina.Monroe@tekprosupport.com,1826 N LOOP 1604 W STE 336C,,SAN ANTONIO,Texas,78248,541611,"491110, 492210, 513199, 516210, 518210, 519290, 541211, 541214, 541219, 541330, 541519, 541611, 541612, 541613, 541614, 541618, 541620, 541690, 541715, 541720, 541810, 541990, 561110, 561210, 561311, 561320, 561410, 561431, 561499, 561611, 621111, 621999","492210, 513199, 516210, 518210, 519290, 541214, 541330, 541519, 541612, 541715, 541720, 561210, 561311, 561320"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/KGG4VCLEBG93/7STM7"", ""KIRA INFORMATION SOLUTIONS LLC"" )","We are Tribally Owned small business. We offer top-notch IT solutions to our customers. These services encompass supporting infrastructure, applications, security, help desk support, and cloud. As a dedicated federal contractor, we understand the key to mission success is reliability, expertise, and timeliness. While quality is expected we deliver cost effective solutions.",,8(a),RICHARD RINEHART,rinehart@thtbc.com,1150 ACADEMY PARK LOOP,STE 230-N2,COLORADO SPRINGS,Colorado,80910,541330,"483111, 513210, 541330, 541511, 541512, 541513, 541519, 561210","483111, 513210, 541330, 541511, 541512, 541513, 541519, 561210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/MJG1DJYMASR5/8FZ01"", ""NORTH WIND GENERAL CONTRACTORS LLC"" )","North Wind General Contractors, LLC (NWGC) is an 8(a) small disadvantaged business firm. As a General Contractor, NWGC provides comprehensive construction services for commercial and government customers at multiple project locations across the U.S. NWGC offers our clients a low risk small business backed by a mature, financially strong parent organization and an excellent past performance history. We competitively bid and manage both large stand-alone projects as well as multiple task order IDIQ contracts, including 100% design, design-build, demolition, facilities repair, fuels systems, and new construction. NWGC is part of a family of North Wind companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). The North Wind family of companies is managed by North Wind Group, a CIRI government ANC contract holding entity.",,8(a),BRENT BROOKS,bbrooks@northwindgrp.com,1425 HIGHAM ST,,IDAHO FALLS,Idaho,83402,236210,"115310, 221310, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238110, 238160, 238210, 238220, 238910, 238990, 562910, 712120","115310, 221310, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238110, 238160, 238210, 238220, 238910, 238990, 562910, 712120"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/XBADFDKCRAV5/909D1"", ""DOYON CONTRACTING SERVICES, LLC"" )","Doyon Contracting Services provides Design-Build and General Construction Services on demolition, new construction, renovations, repairs, and civil projects at government-owned facilities and military installations. We work with government clients to meet agency goals and deliver high quality construction projects in the safest manner possible.",,8(a),WILLIAM LINE,william.line@doyongovgrp.com,3450 S 344TH WAY STE 100,,FEDERAL WAY,Washington,98001,237990,"236115, 236116, 236118, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238120, 238150, 238160, 238210, 238220, 238290, 238320, 238330, 238910, 238990, 335313, 561210, 811192, 811310","236115, 236116, 236118, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238120, 238150, 238160, 238210, 238220, 238290, 238320, 238330, 238910, 238990, 335313, 561210, 811192, 811310"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/Q2GQQBLLVQS5/7APG9"", ""CCI GENERAL CONTRACTORS, LLC"" )",,,8(a),JOHN MORRISON,dmorrison@bbch-llc.com,111 W 16TH AVE STE 411,,ANCHORAGE,Alaska,99501,236220,"236210, 236220, 237110, 237310, 237990, 238220, 238990, 541330, 561210","236210, 236220, 237110, 237310, 237990, 238220, 238990, 541330, 561210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/EXXYDG7CEX35/8GYW0"", ""DOYON TECHNICAL SERVICES LLC"" )","Doyon Technical Services provides Design-Build and General Construction Services on demolition, new construction, renovations, repairs, and civil projects at government-owned facilities and military installations. We work with government clients to meet agency goals and deliver high quality construction projects in the safest manner possible.",,8(a),ZACHEUS RITCHEY,zacheus.ritchey@doyongovgrp.com,4601 PRESIDENT DRIVE,SUITE 230A,GLENARDEN,Maryland,20706,236220,"236115, 236116, 236118, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238120, 238150, 238160, 238210, 238220, 238290, 238320, 238330, 238910, 238990, 335313, 561210, 811310","236115, 236116, 236118, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 238120, 238150, 238160, 238210, 238220, 238290, 238320, 238330, 238910, 238990, 335313, 561210, 811310"
